Lon,Lat
143.885,-39.725
143.895,-39.725
143.905,-39.725
143.915,-39.725
143.925,-39.725
143.935,-39.725
143.945,-39.725
143.955,-39.725
143.965,-39.725
143.975,-39.725
143.985,-39.725
143.995,-39.725
144.005,-39.725
144.015,-39.725
144.025,-39.725
144.035,-39.725
144.045,-39.725
144.055,-39.725
144.065,-39.725
144.075,-39.725
144.095,-39.725
147.935,-39.725
147.945,-39.725
147.955,-39.725
143.855,-39.735
143.865,-39.735
143.875,-39.735
143.885,-39.735
143.895,-39.735
143.905,-39.735
143.915,-39.735
143.925,-39.735
143.935,-39.735
143.945,-39.735
143.955,-39.735
143.965,-39.735
143.975,-39.735
143.985,-39.735
143.995,-39.735
144.005,-39.735
144.015,-39.735
144.025,-39.735
144.035,-39.735
144.045,-39.735
144.055,-39.735
144.065,-39.735
144.075,-39.735
144.095,-39.735
147.935,-39.735
147.945,-39.735
147.955,-39.735
147.965,-39.735
143.855,-39.745
143.865,-39.745
143.875,-39.745
143.885,-39.745
143.895,-39.745
143.905,-39.745
143.915,-39.745
143.925,-39.745
143.935,-39.745
143.945,-39.745
143.955,-39.745
143.965,-39.745
143.975,-39.745
143.985,-39.745
143.995,-39.745
144.005,-39.745
144.015,-39.745
144.025,-39.745
144.035,-39.745
144.045,-39.745
144.055,-39.745
144.065,-39.745
144.075,-39.745
144.095,-39.745
147.865,-39.745
147.905,-39.745
147.915,-39.745
147.925,-39.745
147.935,-39.745
147.945,-39.745
147.955,-39.745
147.965,-39.745
147.975,-39.745
143.855,-39.755
143.865,-39.755
143.875,-39.755
143.885,-39.755
143.895,-39.755
143.905,-39.755
143.915,-39.755
143.925,-39.755
143.935,-39.755
143.945,-39.755
143.955,-39.755
143.965,-39.755
143.975,-39.755
143.985,-39.755
143.995,-39.755
144.005,-39.755
144.015,-39.755
144.025,-39.755
144.035,-39.755
144.045,-39.755
144.055,-39.755
144.065,-39.755
144.075,-39.755
144.095,-39.755
147.855,-39.755
147.865,-39.755
147.875,-39.755
147.895,-39.755
147.905,-39.755
147.915,-39.755
147.925,-39.755
147.935,-39.755
147.945,-39.755
147.955,-39.755
147.975,-39.755
147.985,-39.755
143.855,-39.765
143.865,-39.765
143.875,-39.765
143.885,-39.765
143.895,-39.765
143.905,-39.765
143.915,-39.765
143.925,-39.765
143.935,-39.765
143.945,-39.765
143.955,-39.765
143.965,-39.765
143.975,-39.765
143.985,-39.765
143.995,-39.765
144.005,-39.765
144.015,-39.765
144.025,-39.765
144.035,-39.765
144.045,-39.765
144.055,-39.765
144.065,-39.765
144.075,-39.765
144.095,-39.765
147.855,-39.765
147.865,-39.765
147.875,-39.765
147.885,-39.765
147.895,-39.765
147.905,-39.765
147.915,-39.765
147.925,-39.765
147.935,-39.765
147.945,-39.765
147.955,-39.765
147.965,-39.765
147.985,-39.765
143.855,-39.775
143.865,-39.775
143.875,-39.775
143.885,-39.775
143.895,-39.775
143.905,-39.775
143.915,-39.775
143.925,-39.775
143.935,-39.775
143.945,-39.775
143.955,-39.775
143.965,-39.775
143.975,-39.775
143.985,-39.775
143.995,-39.775
144.005,-39.775
144.015,-39.775
144.025,-39.775
144.035,-39.775
144.045,-39.775
144.055,-39.775
144.065,-39.775
144.075,-39.775
144.085,-39.775
144.095,-39.775
147.865,-39.775
147.875,-39.775
147.885,-39.775
147.895,-39.775
147.905,-39.775
147.915,-39.775
147.925,-39.775
147.935,-39.775
147.945,-39.775
147.955,-39.775
147.965,-39.775
147.975,-39.775
147.985,-39.775
147.995,-39.775
143.865,-39.785
143.875,-39.785
143.885,-39.785
143.895,-39.785
143.905,-39.785
143.915,-39.785
143.925,-39.785
143.935,-39.785
143.945,-39.785
143.955,-39.785
143.965,-39.785
143.975,-39.785
143.985,-39.785
143.995,-39.785
144.005,-39.785
144.015,-39.785
144.025,-39.785
144.035,-39.785
144.045,-39.785
144.055,-39.785
144.065,-39.785
144.075,-39.785
144.085,-39.785
144.095,-39.785
144.105,-39.785
147.865,-39.785
